"RK_name","RK_PK","RK_TM","RK_Player","RK_College","RK_Yrs","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK__3P","RK_FT","RK_MP2","RK_PTS2","RK_TRB2","RK_AST2","RK_WS","RK_WS_48","RK_BPM","RK_VORP"
"41","41","ATL","Tyler Dorsey","Oregon","2","104","1672","701","243","135",".389",".350",".669","16.1","6.7","2.3","1.3","1.0",".030","-3.1","-0.5"
"42","42","UTA","Thomas Bryant","Indiana","3","133","2715","1389","802","181",".595",".355",".756","20.4","10.4","6.0","1.4","9.6",".169","1.9","2.7"
"43","43","HOU","Isaiah Hartenstein","","2","51","487","160","137","33",".593",".182",".714","9.5","3.1","2.7","0.6","1.5",".150","-1.6","0.1"
"44","44","NYK","Damyean Dotson","Oregon","3","165","3314","1282","437","223",".419",".361",".721","20.1","7.8","2.6","1.4","3.1",".044","-2.2","-0.2"
"45","45","HOU","Dillon Brooks","Oregon","3","173","4792","2214","531","301",".420",".358",".777","27.7","12.8","3.1","1.7","2.4",".024","-4.2","-2.7"
"46","46","PHI","Sterling Brown","SMU","3","164","2577","855","510","160",".417",".345",".774","15.7","5.2","3.1","1.0","3.9",".073","-2.1","-0.1"
"47","47","IND","Ike Anigbogu","UCLA","2","14","36","13","12","1",".333","",".833","2.6","0.9","0.9","0.1","0.0",".057","-1.1","0.0"
"48","48","MIL","Sindarius Thornwell","South Carolina","3","139","1504","360","188","90",".420",".350",".683","10.8","2.6","1.4","0.6","1.1",".035","-2.8","-0.3"
"49","49","DEN","Vlatko Čančar","","1","14","45","17","10","3",".400",".167","1.000","3.2","1.2","0.7","0.2","0.1",".062","-4.6","0.0"
"50","50","PHI","Mathias Lessort","","","","","","","","","","","","","","","","","",""
"51","51","DEN","Monte Morris","Iowa State","3","158","3631","1521","333","559",".479",".398",".826","23.0","9.6","2.1","3.5","10.2",".135","0.8","2.6"
"52","52","NOP","Edmond Sumner","Xavier","3","55","659","220","71","65",".406",".263",".585","12.0","4.0","1.3","1.2","0.5",".040","-3.7","-0.3"
"53","53","BOS","Kadeem Allen","Arizona","3","47","640","258","71","109",".435",".349",".757","13.6","5.5","1.5","2.3","1.0",".075","-1.0","0.2"
"54","54","PHO","Alec Peters","Valparaiso","1","20","225","82","37","12",".378",".310",".800","11.3","4.1","1.9","0.6","0.3",".055","-2.8","0.0"
"55","55","UTA","Nigel Williams-Goss","Gonzaga","1","10","50","14","6","6",".313",".286","1.000","5.0","1.4","0.6","0.6","0.0",".017","-3.9","0.0"
"56","56","BOS","Jabari Bird","California","1","13","115","39","19","8",".577",".429",".462","8.8","3.0","1.5","0.6","0.2",".098","-3.1","0.0"
